Barangay,"October 23, 2024 12:00 AM","October 23, 2024 1:00 AM","October 23, 2024 2:00 AM","October 23, 2024 3:00 AM","October 23, 2024 4:00 AM","October 23, 2024 5:00 AM"
Sua,High,High,High,High,High,High
Marupit,High,High,High,High,High,High
Sto. Tomas,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
San Juan - San Ramon,High,High,High,High,High,High
San Francisco,High,High,High,High,High,High
Tarosanan,High,High,High,High,High,High
Dugcal,High,High,High,High,High,High
San Marcos,High,High,High,High,High,High
San Mateo,High,High,High,High,High,High
San Roque,High,High,High,High,High,High
San Lucas,High,High,High,High,High,High
San Jose - San Pablo,High,High,High,High,High,High
Sto. Domingo,High,High,High,High,High,High
